Reference, Value, Footprint, Datasheet, 部品名, 備考
"J1","BARREL_JACK","Connectors:BARREL_JACK","","2.1mm標準DCジャック","VIN端子から電源を得る場合は不要"
"C1","0.1u","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 0.1μF",""
"C2","47u","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","","電解コンデンサ 47μF",""
"C3","47u","Capacitors_THT:CP_Radial_D6.3mm_P2.50mm","","電解コンデンサ 47μF",""
"U1","TA78M05F","TO_SOT_Packages_THT:SIPAK-1EP_Horizontal","","三端子レギュレータ 5V0.5A",""
"JP1","PWR","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","","1x3 2.54mmピッチ ピンヘッダ",""
"J2","Serial","Pin_Headers:Pin_Header_Angled_1x06_Pitch2.54mm","","1x6 2.54mmピッチ ピンヘッダ(L型)",""
"C7","0.1u","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 0.1μF",""
"R3","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","炭素皮膜抵抗器 10KΩ 1/4W (茶黒橙)",""
"SW1","RESET","ICB8xduino:SW_PUSH_Single_6mm","","タクトスイッチ",""
"R1","10k","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","炭素皮膜抵抗器 10KΩ 1/4W (茶黒橙)",""
"D1","RED","LEDs:LED_D3.0mm","","3mm LED(赤)",""
"CONN1","1-7","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","1x8 2.54mmピッチ ピンフレーム",""
"CONN2","8-14","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","1x8 2.54mmピッチ ピンフレーム",""
"CONN3","15-22","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","1x8 2.54mmピッチ ピンフレーム",""
"CONN4","23-28","Pin_Headers:Pin_Header_Straight_1x08_Pitch2.54mm","","1x8 2.54mmピッチ ピンフレーム",""
"C5","22p","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 22pF","インターナルクロック、レゾネーター使用の場合は不要"
"C6","22p","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 22pF","インターナルクロック、レゾネーター使用の場合は不要"
"C4","0.1u","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 0.1μF",""
"C8","0.1u","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 0.1μF",""
"U2","ATMEGA328-PU","Housings_DIP:DIP-28_W7.62mm_Socket","","ATMEGA328P-PU",""
"Y1","16MHz","ICB8xduino:Resonator__HC49-U_Vertical","","水晶振動子(16MHz)又はセラミック発振子(16MHz)","インターナルクロックの場合は不要"
"CONN5","ICSP","Pin_Headers:Pin_Header_Straight_2x03_Pitch2.54mm","","2x3 2.54mmピッチ ピンヘッダ",""
"C9","0.1u","Capacitors_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","","積層セラミックコンデンサ 0.1μF",""
"R2","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","炭素皮膜抵抗器 330Ω　1/4W (橙橙茶)",""
"D2","GREEN","LEDs:LED_D3.0mm","","3mm LED(緑)",""
"R4","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","炭素皮膜抵抗器 330Ω　1/4W (橙橙茶))",""
"R5","330","Resistors_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","","炭素皮膜抵抗器 330Ω　1/4W (橙橙茶)",""
"J4","AE-FT234X","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"GS1","POWER","Connectors:GS2",""
"GS2","GND","Connectors:GS2",""
